Year	1888	1888	1888	1893	1893	1893	1898	1898	1898	1903	1903	1903	1908	1908	1908	1913	1913	1913	1918	1918	1918	1920	1920	1920	1925	1925	1925	1930	1930	1930	1935	1935	1935	1940	1940	1940	1947	1947	1947	1950	1950	1950	1955	1955	1955	1960	1960	1960	1965	1965	1965	1970	1970	1970	1975	1975	1975	1980	1980	1980	1985	1985	1985	1990	1990	1990	1995	1995	1995	2000	2000	2000	2005	2005	2005
8	871923	440727	431196	862435	435507	426928	900948	455998	444950	994930	504418	490512	1099267	558654	540613	1136762	570109	566653	1321782	666249	655533	1377788	696316	681472	1336979	675149	661830	1528554	770332	758222	1721824	867527	854297	1744934	882473	862461	1596523	806104	790419	1987368	1007452	979916	2335070	1192780	1142290	1950937	995634	955303	1538389	782201	756188	1587147	811055	776092	1851647	948711	902936	2025049	1038900	986149	1751870	897453	854417	1508173	771683	736490	1349829	690873	658956	1210282	620484	589798	1188871	608086	580785
9	881374	444884	436490	862816	435302	427514	959961	484852	475109	970549	492810	477739	1059027	539602	519425	1122985	569974	553011	1304280	658101	646179	1320150	666884	653266	1360879	688670	672209	1478576	747273	731303	1689619	853572	836047	1730334	874102	856232	1703879	860213	843666	1970662	999535	971127	1522471	776813	745658	2086080	1065805	1020275	1632119	831017	801102	1574060	804504	769556	1442240	738142	704098	1979189	1014408	964781	1840708	943996	896712	1527697	782809	744888	1378766	706918	671848	1210666	620082	590584	1183562	605943	577619
10	872051	441802	430249	900755	452498	448257	935702	474595	461107	932197	471597	460600	1084199	544954	539245	1155958	586399	569559	1282854	649356	633498	1282875	647926	634949	1336814	676678	660136	1557981	787708	770273	1617266	814735	802531	1675449	847195	828254	1790432	906820	883612	1797699	910239	887460	1632215	827056	805159	2262455	1154276	1108179	1721695	877404	844291	1595708	814215	781493	1795645	918944	876701	1921118	986691	934427	1927529	987723	939806	1595265	817406	777859	1439250	736103	703147	1239516	634159	605357	1204524	616199	588325
11	846690	429857	416833	880879	445389	435490	857726	434128	423598	936190	474410	461780	1037467	525538	511929	1171550	594110	577440	1247488	626106	621382	1289435	652832	636603	1377149	699259	677890	1266193	638012	628181	1540102	776991	763111	1658857	836270	822587	1820310	917676	902634	1581452	799903	781549	1981370	1003333	978037	2497999	1273695	1224304	1719433	875746	843687	1623047	827301	795746	1679694	859484	820210	1890500	969928	920572	2034623	1043746	990877	1636114	839095	797019	1490285	762492	727793	1262345	646345	616000	1205422	617258	588164
12	882818	445958	436860	896881	450400	446481	883640	444642	438998	842581	425324	417257	994079	500815	493264	1155573	586211	569362	1083292	558722	524570	1250656	633372	617284	1369551	694727	674824	1303277	657616	645661	1547049	780365	766684	1665476	840419	825057	1759687	887522	872165	1711680	863405	848275	1931926	977202	954724	2483850	1266718	1217132	1840331	933850	906481	1586763	808216	778547	1641273	839381	801892	1848293	947950	900343	2068981	1058743	1010238	1705785	873298	832487	1506868	770688	736180	1314403	673706	640697	1187516	608449	579067
13	814401	412208	402193	866106	437540	428566	851441	430407	421034	887852	450108	437744	980266	498141	482125	1082259	550558	531701	1117999	561275	556724	1209227	611589	597638	1359758	687458	672300	1322107	668724	653383	1515627	763582	752045	1671544	842626	828918	1702909	859262	843647	1792256	906746	885510	1996207	1011047	985160	2366153	1207759	1158394	1954177	992880	961297	1543604	786420	757184	1591697	814153	777544	1854487	950553	903934	2029146	1040855	988291	1749680	896453	853227	1511715	773727	737988	1352506	692224	660282	1209248	620052	589196
14	796381	402551	393830	872936	441487	431449	852861	430185	422676	947911	480285	467626	956900	487321	469579	1042546	532460	510086	1101373	560219	541154	1069374	543506	525868	1291758	652869	638889	1351487	684500	666987	1465203	741101	724102	1661898	837921	823977	1739355	878009	861346	1816830	920094	896736	1966099	997162	968937	1519733	775461	744272	2081867	1058445	1023422	1628757	830419	798338	1573755	805079	768676	1445230	739691	705539	1981842	1015903	965939	1839941	943628	896313	1529687	783958	745729	1377842	706716	671126	1207942	618720	589222
15	790958	400626	390332	861831	436830	425001	888504	447303	441201	921123	468622	452501	915166	465002	450164	1064551	537297	527254	1131404	575350	556054	1082026	548173	533853	1253443	633577	619866	1322615	670377	652238	1534539	776367	758172	1582669	795839	786830	1728432	871785	856647	1751282	884422	866860	1794119	906578	887541	1617350	816862	800488	2250227	1140306	1109921	1711172	870185	840987	1590749	812466	778283	1794958	918958	876000	1925050	989065	935985	1923430	985737	937693	1600305	820866	779439	1442928	738536	704392	1234174	632362	601812
16	698584	354671	343913	832239	422396	409843	868947	439833	429114	839852	426026	413826	915414	466238	449176	1015659	516743	498916	1141699	581830	559869	1069259	542611	526648	1261474	636543	624931	1350684	687032	663652	1252480	631960	620520	1496874	751668	745206	1706358	861470	844888	1705202	860642	844560	1578957	796136	782821	1968690	991000	977690	2474995	1250399	1224596	1711392	866940	844452	1627002	829720	797282	1682121	861039	821082	1895535	973067	922468	2030530	1042024	988506	1642394	843556	798838	1494054	765613	728441	1273076	653268	619808
17	647316	328631	318685	869938	439676	430262	882683	443536	439147	862929	434786	428143	822099	416217	405882	969849	491169	478680	1121152	571252	549900	1107608	562069	545539	1201311	609350	591961	1320413	670302	650111	1276159	643259	632900	1484277	742892	741385	1641512	826178	815334	1724498	869344	855154	1696266	852872	843394	1906735	958960	947775	2445248	1234606	1210642	1814986	914803	900183	1582007	804551	777456	1638131	836807	801324	1850928	948823	902105	2061385	1054881	1006504	1708325	875464	832861	1509872	772956	736916	1313462	675064	638398
